classes,class_desc
ConditionProviderService,A service that provides conditions about boolean state.
ConditionVariable,Class that implements the condition variable locking paradigm.
Conference,Represents a conference call which can contain any number of Connection objects.
Conferenceable,"Interface used to identify entities with which another entity can participate in a conference
 call with."
Config,"This class was deprecated
      in API level 14.
    This class is not useful, it just returns the same value for
 all constants, and has always done this.  Do not use it."
ConfigParser,Utility class for building PasspointConfiguration from an installation file.
Configuration,"This class describes all device configuration information that can
 impact the resources the application retrieves."
ConfigurationInfo,"Information you can retrieve about hardware configuration preferences
 declared by an application."
ConfigurationStats,"Represents the usage statistics of a device Configuration for a
 specific time range."
ConfirmationAlreadyPresentingException,"This exception is thrown when presenting a prompt fails because another prompt is already
 being presented."
ConfirmationCallback,Callback class used when signaling that a prompt is no longer being presented.
ConfirmationNotAvailableException,"This exception is thrown when presenting a prompt fails because the the environment lacks
 facilities for showing confirmations."
ConfirmationPrompt,Class used for displaying confirmation prompts.
ConfirmationPrompt.Builder,"A builder that collects arguments, to be shown on the system-provided confirmation prompt."
ConnectEvent,A class that represents a TCP connect event initiated through the standard network stack.
ConnectException,"Signals that an error occurred while attempting to connect a
 socket to a remote address and port."
Connection,"Represents a phone call or connection to a remote endpoint that carries voice and/or video
 traffic."
Connection,"A connection (session) with a specific
 database."
Connection.RttModifyStatus,"Provides constants to represent the results of responses to session modify requests sent via
 Call.sendRttRequest()"
Connection.RttTextStream,Provides methods to read and write RTT data to/from the in-call app.
Connection.VideoProvider,Provides a means of controlling the video session associated with a Connection.
ConnectionEvent,"An Event object that provides information about the
 source of a connection-related event."
ConnectionEventListener,"An object that registers to be notified of events generated by a
 PooledConnection object."
ConnectionPendingException,"Unchecked exception thrown when an attempt is made to connect a SocketChannel for which a non-blocking connection operation is already in
 progress."
ConnectionPoolDataSource,"A factory for PooledConnection
 objects."
ConnectionRequest,"Simple data container encapsulating a request to some entity to
 create a new Connection."
ConnectionService,"An abstract service that should be implemented by any apps which either:
 
     Can make phone calls (VoIP or otherwise) and want those calls to be integrated into the
     built-in phone app."
ConnectivityManager,Class that answers queries about the state of network connectivity.
ConnectivityManager.NetworkCallback,Base class for NetworkRequest callbacks.
ConnectivityManager.OnNetworkActiveListener,"Callback for use with ConnectivityManager.addDefaultNetworkActiveListener(ConnectivityManager.OnNetworkActiveListener)
 to find out when the system default network has gone in to a high power state."
ConnectTimeoutException,"This class was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
Console,"Methods to access the character-based console device, if any, associated
 with the current Java virtual machine."
ConsoleHandler,This Handler publishes log records to System.err.
ConsoleMessage,Public class representing a JavaScript console message from WebCore.
ConsoleMessage.MessageLevel,
ConstantCallSite,"A ConstantCallSite is a CallSite whose target is permanent, and can never be changed."
Constructor<T>,"Constructor provides information about, and access to, a single
 constructor for a class."
Consumer<T>,"Represents an operation that accepts a single input argument and returns no
 result."
ConsumerIrManager,Class that operates consumer infrared on the device.
ConsumerIrManager.CarrierFrequencyRange,"Represents a range of carrier frequencies (inclusive) on which the
 infrared transmitter can transmit"
Contacts,"This class was deprecated
      in API level 5.
    The APIs have been superseded by ContactsContract. The newer APIs allow
 access multiple accounts and support aggregation of similar contacts. These APIs continue to
 work but will only return data for the first Google account created, which matches the original
 behavior."
Contacts.ContactMethods,"This class was deprecated
      in API level 5.
    see ContactsContract"
Contacts.ContactMethodsColumns,"This interface was deprecated
      in API level 5.
    see ContactsContract"
Contacts.Extensions,"This class was deprecated
      in API level 5.
    see ContactsContract"
Contacts.ExtensionsColumns,"This interface was deprecated
      in API level 5.
    see ContactsContract"
Contacts.GroupMembership,"This class was deprecated
      in API level 5.
    see ContactsContract"
Contacts.Groups,"This class was deprecated
      in API level 5.
    see ContactsContract"
